Name of product;link of product;bank;card image 
Райффайзен БанкЛицензия НБУ № 10 от 18.06.2018 г.Кредитная карта «Хочу-карта»Рейтинг устойчивости банка;https://minfin.com.ua/company/aval/;Райффайзен Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/61b223a1937f5.png
Юнекс БанкЛицензия НБУ №56 от 28.10.2011 г.Кредитная карта «Unex Card»;https://minfin.com.ua/company/unexbank/;Юнекс Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5e04bd336f3f6.png
monobankЛицензия НБУ № 92 от 10.10.2011 г. (АО «Универсал Банк»)Кредитная карта «Monobank»Кешбэк до 20%;https://minfin.com.ua/company/monobank/;monobank;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcb23447aa.png
А-БанкЛицензия НБУ №16 от 26.10.2011 г.Кредитная карта «Зелена»Кешбэк до 20%Рейтинг устойчивости банка;https://minfin.com.ua/company/a-bank/;А-Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f898884ee4dc.png
Идея БанкЛицензия НБУ № 96 от 04.11.2011 г.Кредитная карта «Card Blanche Blue»Рейтинг устойчивости банка;https://minfin.com.ua/company/ideabank/;Идея Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcabe66c5d.png
Альфа-БанкЛицензия НБУ № 61 от 05.10.2011 г.Кредитная карта «Сaméléon»Кешбэк до 10%Рейтинг устойчивости банка;https://minfin.com.ua/company/alfa-bank/;Альфа-Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/61151d20c36b8.png
УкргазбанкЛицензия НБУ № 123 от 06.10.2011 г.Кредитная карта «Эко-кредитка»Рейтинг устойчивости банка;https://minfin.com.ua/company/ukrgasbank/;Укргазбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5e32bf9a865b7.png
Банк Кредит ДнепрЛицензия НБУ № 70 от 22.10.2018 г.Кредитная карта «Freecard gold»Рейтинг устойчивости банка;https://minfin.com.ua/company/credit-dnepr/;Банк Кредит Днепр;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5c6465e8dc067.png
Форвард Банк (Forward Bank)Лицензия НБУ № 226 от 30.10.2014 г.Кредитная карта «Коко Кард»Рейтинг устойчивости банка;https://minfin.com.ua/company/forward-bank/;Форвард Банк (Forward Bank);https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5d8cabd309589.png
ПУМБЛицензия НБУ № 8 от 06.10.2011 г.Кредитная карта «ВсеМожу»Кешбэк до 50%Рейтинг устойчивости банка;https://minfin.com.ua/company/pumb/;ПУМБ;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dca79294bc.png
ТаскомбанкЛицензия НБУ № 84 от 25.10.2011 г.Кредитная карта «Большая пятерка»Кешбэк до 3%Рейтинг устойчивости банка;https://minfin.com.ua/company/taskombank/;Таскомбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcabf5f6e7.png
МТБ БанкЛицензия НБУ № 66 от 19.03.2018 г.Кредитная карта «Benefit New»Рейтинг устойчивости банка;https://minfin.com.ua/company/marfinbank/;МТБ Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5fe1bc2dbfe04.png
УкрстройинвестбанкЛицензия НБУ № 213 от 15.11.2011 г.Кредитная карта «Платинум Премиум +»;https://minfin.com.ua/company/ukrstroyinvestbank/;Укрстройинвестбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5fc6313fa40a6.png
ПриватбанкЛицензия НБУ № 22 от 05.10.2011 г.Кредитная карта «Универсальная»Рейтинг устойчивости банка;https://minfin.com.ua/company/privatbank/;Приватбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f0d92b073a4f.png
Коммерческий Индустриальный БанкЛицензия НБУ № 186 от 11.11.2011 г.Кредитная карта «Обычная»Рейтинг устойчивости банка;https://minfin.com.ua/company/cib/;Коммерческий Индустриальный Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/60ade1b1113df.png
КонкордЛицензия НБУ № 230 от 07.11.2011 г.Кредитная карта «One»Кешбэк до 1%Рейтинг устойчивости банка;https://minfin.com.ua/company/concord/;Конкорд;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5e27223194945.png
izibankЛицензия НБУ № 84 від 25.10.2011Кредитная карта «izibank»Кешбэк до 2%;https://minfin.com.ua/company/izibank/;izibank;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f5a097ad322d.png
КредобанкЛицензия НБУ № 43 от 11.10.2011 г.Кредитная карта «Кредобра»Рейтинг устойчивости банка;https://minfin.com.ua/company/kredobank/;Кредобанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5db2af7351a50.png
OTP BankЛицензия НБУ № 191 от 05.10.2011 г.Кредитная карта «Vodafone Bonus Card»Рейтинг устойчивости банка;https://minfin.com.ua/company/otp-bank/;OTP Bank;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/60891d58080dc.png
ОщадбанкЛицензия НБУ № 148 от 05.10.2011 г.Кредитная карта «More»Рейтинг устойчивости банка;https://minfin.com.ua/company/oschadbank/;Ощадбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/60891d8608287.png
Райффайзен БанкЛицензия НБУ № 10 от 18.06.2018 г.Кредитная карта «Хочу-карта»Рейтинг устойчивости банка;https://minfin.com.ua/company/aval/;Райффайзен Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/61b223a1937f5.png
Юнекс БанкЛицензия НБУ №56 от 28.10.2011 г.Кредитная карта «Unex Card»;https://minfin.com.ua/company/unexbank/;Юнекс Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5e04bd336f3f6.png
monobankЛицензия НБУ № 92 от 10.10.2011 г. (АО «Универсал Банк»)Кредитная карта «Monobank»Кешбэк до 20%;https://minfin.com.ua/company/monobank/;monobank;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcb23447aa.png
А-БанкЛицензия НБУ №16 от 26.10.2011 г.Кредитная карта «Зелена»Кешбэк до 20%Рейтинг устойчивости банка;https://minfin.com.ua/company/a-bank/;А-Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f898884ee4dc.png
Идея БанкЛицензия НБУ № 96 от 04.11.2011 г.Кредитная карта «Card Blanche Blue»Рейтинг устойчивости банка;https://minfin.com.ua/company/ideabank/;Идея Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcabe66c5d.png
Альфа-БанкЛицензия НБУ № 61 от 05.10.2011 г.Кредитная карта «Сaméléon»Кешбэк до 10%Рейтинг устойчивости банка;https://minfin.com.ua/company/alfa-bank/;Альфа-Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/61151d20c36b8.png
УкргазбанкЛицензия НБУ № 123 от 06.10.2011 г.Кредитная карта «Эко-кредитка»Рейтинг устойчивости банка;https://minfin.com.ua/company/ukrgasbank/;Укргазбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5e32bf9a865b7.png
Банк Кредит ДнепрЛицензия НБУ № 70 от 22.10.2018 г.Кредитная карта «Freecard gold»Рейтинг устойчивости банка;https://minfin.com.ua/company/credit-dnepr/;Банк Кредит Днепр;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5c6465e8dc067.png
Форвард Банк (Forward Bank)Лицензия НБУ № 226 от 30.10.2014 г.Кредитная карта «Коко Кард»Рейтинг устойчивости банка;https://minfin.com.ua/company/forward-bank/;Форвард Банк (Forward Bank);https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5d8cabd309589.png
ПУМБЛицензия НБУ № 8 от 06.10.2011 г.Кредитная карта «ВсеМожу»Кешбэк до 50%Рейтинг устойчивости банка;https://minfin.com.ua/company/pumb/;ПУМБ;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dca79294bc.png
ТаскомбанкЛицензия НБУ № 84 от 25.10.2011 г.Кредитная карта «Большая пятерка»Кешбэк до 3%Рейтинг устойчивости банка;https://minfin.com.ua/company/taskombank/;Таскомбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcabf5f6e7.png
МТБ БанкЛицензия НБУ № 66 от 19.03.2018 г.Кредитная карта «Benefit New»Рейтинг устойчивости банка;https://minfin.com.ua/company/marfinbank/;МТБ Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5fe1bc2dbfe04.png
УкрстройинвестбанкЛицензия НБУ № 213 от 15.11.2011 г.Кредитная карта «Платинум Премиум +»;https://minfin.com.ua/company/ukrstroyinvestbank/;Укрстройинвестбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5fc6313fa40a6.png
ПриватбанкЛицензия НБУ № 22 от 05.10.2011 г.Кредитная карта «Универсальная»Рейтинг устойчивости банка;https://minfin.com.ua/company/privatbank/;Приватбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f0d92b073a4f.png
Коммерческий Индустриальный БанкЛицензия НБУ № 186 от 11.11.2011 г.Кредитная карта «Обычная»Рейтинг устойчивости банка;https://minfin.com.ua/company/cib/;Коммерческий Индустриальный Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/60ade1b1113df.png
КонкордЛицензия НБУ № 230 от 07.11.2011 г.Кредитная карта «One»Кешбэк до 1%Рейтинг устойчивости банка;https://minfin.com.ua/company/concord/;Конкорд;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5e27223194945.png
izibankЛицензия НБУ № 84 від 25.10.2011Кредитная карта «izibank»Кешбэк до 2%;https://minfin.com.ua/company/izibank/;izibank;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f5a097ad322d.png
КредобанкЛицензия НБУ № 43 от 11.10.2011 г.Кредитная карта «Кредобра»Рейтинг устойчивости банка;https://minfin.com.ua/company/kredobank/;Кредобанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5db2af7351a50.png
OTP BankЛицензия НБУ № 191 от 05.10.2011 г.Кредитная карта «Vodafone Bonus Card»Рейтинг устойчивости банка;https://minfin.com.ua/company/otp-bank/;OTP Bank;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/60891d58080dc.png
ОщадбанкЛицензия НБУ № 148 от 05.10.2011 г.Кредитная карта «More»Рейтинг устойчивости банка;https://minfin.com.ua/company/oschadbank/;Ощадбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/60891d8608287.png
Райффайзен БанкЛицензия НБУ № 10 от 18.06.2018 г.Кредитная карта «Хочу-карта»Рейтинг устойчивости банка;https://minfin.com.ua/company/aval/;Райффайзен Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/61b223a1937f5.png
Юнекс БанкЛицензия НБУ №56 от 28.10.2011 г.Кредитная карта «Unex Card»;https://minfin.com.ua/company/unexbank/;Юнекс Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5e04bd336f3f6.png
monobankЛицензия НБУ № 92 от 10.10.2011 г. (АО «Универсал Банк»)Кредитная карта «Monobank»Кешбэк до 20%;https://minfin.com.ua/company/monobank/;monobank;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcb23447aa.png
А-БанкЛицензия НБУ №16 от 26.10.2011 г.Кредитная карта «Зелена»Кешбэк до 20%Рейтинг устойчивости банка;https://minfin.com.ua/company/a-bank/;А-Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f898884ee4dc.png
Идея БанкЛицензия НБУ № 96 от 04.11.2011 г.Кредитная карта «Card Blanche Blue»Рейтинг устойчивости банка;https://minfin.com.ua/company/ideabank/;Идея Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcabe66c5d.png
Альфа-БанкЛицензия НБУ № 61 от 05.10.2011 г.Кредитная карта «Сaméléon»Кешбэк до 10%Рейтинг устойчивости банка;https://minfin.com.ua/company/alfa-bank/;Альфа-Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/61151d20c36b8.png
УкргазбанкЛицензия НБУ № 123 от 06.10.2011 г.Кредитная карта «Эко-кредитка»Рейтинг устойчивости банка;https://minfin.com.ua/company/ukrgasbank/;Укргазбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5e32bf9a865b7.png
Банк Кредит ДнепрЛицензия НБУ № 70 от 22.10.2018 г.Кредитная карта «Freecard gold»Рейтинг устойчивости банка;https://minfin.com.ua/company/credit-dnepr/;Банк Кредит Днепр;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5c6465e8dc067.png
Форвард Банк (Forward Bank)Лицензия НБУ № 226 от 30.10.2014 г.Кредитная карта «Коко Кард»Рейтинг устойчивости банка;https://minfin.com.ua/company/forward-bank/;Форвард Банк (Forward Bank);https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5d8cabd309589.png
ПУМБЛицензия НБУ № 8 от 06.10.2011 г.Кредитная карта «ВсеМожу»Кешбэк до 50%Рейтинг устойчивости банка;https://minfin.com.ua/company/pumb/;ПУМБ;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dca79294bc.png
ТаскомбанкЛицензия НБУ № 84 от 25.10.2011 г.Кредитная карта «Большая пятерка»Кешбэк до 3%Рейтинг устойчивости банка;https://minfin.com.ua/company/taskombank/;Таскомбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcabf5f6e7.png
МТБ БанкЛицензия НБУ № 66 от 19.03.2018 г.Кредитная карта «Benefit New»Рейтинг устойчивости банка;https://minfin.com.ua/company/marfinbank/;МТБ Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5fe1bc2dbfe04.png
УкрстройинвестбанкЛицензия НБУ № 213 от 15.11.2011 г.Кредитная карта «Платинум Премиум +»;https://minfin.com.ua/company/ukrstroyinvestbank/;Укрстройинвестбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5fc6313fa40a6.png
ПриватбанкЛицензия НБУ № 22 от 05.10.2011 г.Кредитная карта «Универсальная»Рейтинг устойчивости банка;https://minfin.com.ua/company/privatbank/;Приватбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f0d92b073a4f.png
Коммерческий Индустриальный БанкЛицензия НБУ № 186 от 11.11.2011 г.Кредитная карта «Обычная»Рейтинг устойчивости банка;https://minfin.com.ua/company/cib/;Коммерческий Индустриальный Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/60ade1b1113df.png
КонкордЛицензия НБУ № 230 от 07.11.2011 г.Кредитная карта «One»Кешбэк до 1%Рейтинг устойчивости банка;https://minfin.com.ua/company/concord/;Конкорд;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5e27223194945.png
izibankЛицензия НБУ № 84 від 25.10.2011Кредитная карта «izibank»Кешбэк до 2%;https://minfin.com.ua/company/izibank/;izibank;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f5a097ad322d.png
КредобанкЛицензия НБУ № 43 от 11.10.2011 г.Кредитная карта «Кредобра»Рейтинг устойчивости банка;https://minfin.com.ua/company/kredobank/;Кредобанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5db2af7351a50.png
OTP BankЛицензия НБУ № 191 от 05.10.2011 г.Кредитная карта «Vodafone Bonus Card»Рейтинг устойчивости банка;https://minfin.com.ua/company/otp-bank/;OTP Bank;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/60891d58080dc.png
ОщадбанкЛицензия НБУ № 148 от 05.10.2011 г.Кредитная карта «More»Рейтинг устойчивости банка;https://minfin.com.ua/company/oschadbank/;Ощадбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/60891d8608287.png
